kz_synergy_ez, Time: 02:45.85 (TP), Teleports: 1, Rank: 1/61
kz_tomb_fix, Time: 00:30.34 (TP), Teleports: 1, Rank: 1/783
kz_tomb_fix, Time: 00:29.81 (PRO), Teleports: 0, Rank: 1/303
kz_toonrun_final, Time: 04:47.06 (TP), Teleports: 3, Rank: 1/490
kz_toonrun_final, Time: 04:52.56 (PRO), Teleports: 0, Rank: 1/14
kz_toughluck_fix, Time: 01:17.93 (TP), Teleports: 1, Rank: 1/279
kz_toughluck_fix, Time: 01:14.90 (PRO), Teleports: 0, Rank: 1/95
kz_trazodon, Time: 01:10.67 (PRO), Teleports: 0, Rank: 1/4
kz_trazodon, Time: 01:18.64 (TP), Teleports: 2, Rank: 1/49
kz_trazodon_fix, Time: 01:10.29 (PRO), Teleports: 0, Rank: 1/1
kz_trazodon_fix, Time: 01:11.24 (TP), Teleports: 1, Rank: 1/29
kz_tribute, Time: 07:42.60 (TP), Teleports: 17, Rank: 1/437
kz_twilight_od, Time: 02:47.06 (PRO), Teleports: 0, Rank: 1/23
kz_xmas2008, Time: 00:26.75 (TP), Teleports: 1, Rank: 1/479
kz_xtremeblock_v2, Time: 03:37.68 (PRO), Teleports: 0, Rank: 1/69
xc_alt_nephilim, Time: 02:24.62 (PRO), Teleports: 0, Rank: 1/10
xc_alt_nephilim, Time: 02:27.03 (TP), Teleports: 1, Rank: 1/69
xc_cliffjump_fix, Time: 01:38.25 (PRO), Teleports: 0, Rank: 1/4
xc_cliffjump_fix, Time: 01:37.59 (TP), Teleports: 1, Rank: 1/37
xc_fox_shrine_japan_fr, Time: 07:26.07 (PRO), Teleports: 0, Rank: 1/17
xc_supermario_go_gfix, Time: 06:32.00 (TP), Teleports: 1, Rank: 1/199
xc_supermario_go_gfix, Time: 06:37.87 (PRO), Teleports: 0, Rank: 1/15
